"data.gender"	"data.Attitude"	"data.Age"	"data.Points"	"data.deep"	"data.stra"	"data.surf"
"F"	37	53	25	43	27	31
"M"	31	55	12	35	22	38
"F"	25	49	24	42	29	27
"M"	35	53	10	42	25	27
"M"	37	49	22	44	29	34
"F"	38	38	21	57	29	29
"M"	35	50	21	46	18	23
"F"	29	37	31	39	32	34
"M"	38	37	24	52	34	26
"F"	21	42	26	48	28	36
"M"	39	37	31	43	29	32
"F"	38	34	31	46	38	29
"F"	24	34	23	51	29	27
"F"	30	34	25	40	28	33
"M"	26	35	21	50	14	28
"F"	41	33	31	44	31	28
"F"	26	32	20	49	11	35
"F"	26	44	22	42	26	30
"M"	17	29	9	49	24	45
"F"	27	30	24	48	30	33
"M"	39	27	28	47	21	28
"M"	34	29	30	48	19	29
"F"	27	31	24	48	29	36
"F"	23	37	9	44	22	29
"F"	37	26	26	44	14	34
"F"	44	26	32	53	26	38
"M"	41	30	32	47	32	36
"F"	37	33	33	45	29	24
"F"	25	33	29	39	23	42
"M"	30	28	30	43	24	45
"M"	34	26	19	59	13	30
"F"	32	27	23	43	26	25
"F"	20	25	19	35	28	29
"F"	24	31	12	44	24	31
"M"	42	20	10	54	26	19
"F"	16	39	11	49	15	34
"M"	31	38	20	46	35	22
"M"	38	24	26	39	29	29
"M"	38	26	31	28	20	39
"M"	33	25	20	40	10	41
"F"	17	30	23	49	32	41
"F"	25	25	12	35	24	38
"M"	32	30	24	40	20	42
"F"	35	48	17	46	39	32
"F"	32	24	29	44	40	29
"F"	42	40	23	56	35	43
"M"	31	25	28	45	26	25
"F"	39	23	31	41	32	45
"F"	19	25	23	50	25	35
"F"	21	23	25	35	20	35
"M"	25	27	18	50	25	29
"M"	32	25	19	43	26	36
"M"	32	23	22	34	17	41
"F"	26	23	25	48	22	35
"F"	23	23	21	35	19	39
"F"	38	45	9	36	25	39
"F"	28	22	28	49	32	28
"F"	33	23	25	35	32	39
"M"	48	21	29	42	18	30
"M"	40	21	33	52	26	21
"F"	40	21	33	51	29	27
"F"	47	21	25	41	29	25
"F"	23	26	18	37	20	34
"F"	31	25	22	55	15	34
"F"	27	26	17	41	16	29
"M"	41	21	25	41	15	27
"F"	34	23	28	41	32	34
"F"	25	22	22	43	23	27
"F"	21	22	26	19	31	22
"F"	14	22	11	40	20	35
"F"	19	23	29	52	22	35
"M"	37	22	22	53	36	25
"M"	32	23	21	58	27	28
"M"	28	24	28	37	21	29
"F"	41	22	33	36	33	33
"F"	25	23	16	49	21	39
"M"	28	22	31	49	18	21
"M"	38	20	22	45	22	31
"M"	31	22	31	37	24	40
"M"	35	21	23	57	13	34
"F"	36	22	26	51	15	30
"F"	26	23	12	50	27	29
"M"	44	21	26	53	30	29
"M"	45	22	31	46	17	31
"M"	32	29	19	40	19	36
"F"	39	29	30	38	22	24
"F"	25	21	12	38	25	41
"M"	33	28	17	46	28	34
"F"	33	21	18	51	21	27
"F"	30	30	19	46	27	33
"F"	29	21	21	44	18	47
"M"	33	23	24	46	24	28
"F"	33	21	28	46	32	33
"F"	35	21	17	46	28	33
"F"	36	20	18	44	21	35
"M"	37	22	17	52	20	25
"M"	42	21	23	45	30	44
"M"	32	21	26	50	29	34
"F"	50	20	28	48	33	41
"M"	47	22	31	48	35	19
"F"	36	20	27	55	21	35
"F"	36	20	25	44	32	36
"M"	29	24	23	44	22	35
"F"	35	20	21	46	22	32
"F"	40	19	27	31	11	36
"F"	35	21	28	42	18	33
"F"	32	21	23	37	29	37
"F"	26	22	21	51	30	30
"F"	20	25	25	38	32	28
"F"	27	21	11	37	25	36
"F"	32	22	19	50	26	36
"F"	33	25	24	27	17	48
"F"	39	20	28	40	23	39
"M"	33	24	21	37	12	42
"F"	30	20	24	33	20	42
"M"	37	21	24	39	26	46
"F"	25	20	20	48	29	35
"F"	29	20	19	43	31	26
"M"	39	31	30	49	31	20
"F"	36	20	22	51	19	25
"F"	29	22	16	41	24	34
"F"	21	22	16	37	27	41
"M"	31	21	19	42	22	40
"M"	40	22	30	44	36	31
"F"	31	21	23	51	21	34
"F"	23	21	19	51	22	40
"F"	28	21	18	46	26	36
"F"	37	21	28	53	33	31
"F"	26	20	21	42	27	29
"F"	24	21	19	43	22	43
"F"	30	25	27	44	33	25
"M"	28	21	24	25	26	52
"F"	29	24	21	51	23	32
"F"	24	20	20	43	23	36
"M"	31	21	28	48	19	32
"F"	19	20	12	40	31	26
"F"	20	20	21	42	17	32
"F"	38	18	28	38	32	27
"F"	34	21	31	43	26	32
"F"	37	19	18	41	21	40
"F"	29	21	25	51	22	42
"F"	23	20	19	39	32	33
"M"	41	21	21	53	24	24
"F"	27	20	16	39	27	34
"F"	35	21	7	47	31	42
"F"	34	20	21	43	26	30
"F"	32	18	17	54	27	38
"M"	33	22	22	43	33	37
"F"	33	22	18	44	28	35
"M"	35	24	25	31	16	38
"F"	32	19	24	50	29	30
"F"	31	20	23	39	27	46
"F"	28	20	23	52	17	27
"F"	17	17	26	47	37	41
"M"	19	19	12	32	20	45
"F"	35	20	32	37	23	36
"F"	24	20	22	45	22	31
"F"	21	20	20	50	32	40
"F"	29	20	21	50	19	34
"F"	19	19	23	39	31	36
"F"	20	19	20	49	27	34
"F"	42	22	28	35	14	38
"M"	41	35	31	46	24	33
"F"	37	18	18	38	21	41
"F"	36	19	30	41	21	36
"M"	18	21	19	49	27	32
